Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
2,Asia,Shenyang,China,BR2RH  B,BR2RH  G,439.3750,DUP-,7.6,DV,OFF,82.5Hz,Yes,Approximate,123.51,41.78,+08:00
4,Canada,Calgary,Alberta,VA6ACW C,VA6ACW G,145.6500,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,51.13,-114.25,-07:00
4,Canada,Calgary,Alberta,VA6ACW B,VA6ACW G,445.8500,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,51.13,-114.25,-07:00
4,Canada,Calgary,Alberta,VE6GHZ B,VE6GHZ G,444.9500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,51.14,-114.16,-07:00
4,Canada,Calgary,Alberta,VE6GHZ C,VE6GHZ G,147.0900,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,51.14,-114.16,-07:00
4,Canada,Calgary,Alberta,VE6IPG B,VE6IPG G,444.9625,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,50.97,-114.07,-07:00
4,Canada,Calgary,Alberta,VE6IPG C,VE6IPG G,147.2850,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,50.97,-114.07,-07:00
4,Canada,Claresholm,Alberta,VE6AAH C,VE6AAH G,145.2100,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.89,-114,-07:00
4,Canada,Edmonton,Alberta,VE6BHX B,VE6BHX G,440.7500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,53.47,-113.41,-07:00
4,Canada,Edmonton,Alberta,VE6KM  C,VE6KM  G,145.4700,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,53.53,-113.34,-07:00
4,Canada,Edmonton,Alberta,VE6KM  B,VE6KM  G,444.9000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,53.53,-113.34,-07:00
4,Canada,Medicine Hat,Alberta,VA6SRG B,VA6SRG G,444.8000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.97,-110.58,-07:00
4,Canada,Medicine Hat,Alberta,VE6MHD B,VE6MHD G,445.9000,DUP-,0,DV,OFF,82.5Hz,Yes,Approximate,50.01,-110.63,-07:00
4,Canada,St.Albert,Alberta,VE6JKB B,VE6JKB G,444.2500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,53.64,-113.67,-07:00
4,Canada,Chilliwack,British Columbia,VE7RCK B,VE7RCK G,444.6250,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.11,-121.9,-08:00
4,Canada,Chilliwack,British Columbia,VE7RCK C,VE7RCK G,145.0600,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.11,-121.9,-08:00
4,Canada,Kelowna,British Columbia,VA7DIG C,VA7DIG G,145.0300,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.88,-119.46,-08:00
4,Canada,Kelowna,British Columbia,VA7DIG B,VA7DIG G,440.9500,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.88,-119.46,-08:00
4,Canada,Maple Ridge,British Columbia,VE7RMR B,VE7RMR G,440.8000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.21,-122.51,-08:00
4,Canada,Mt Seymour,British Columbia,VE7RAG B,VE7RAG G,443.4000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.37,-122.95,-08:00
4,Canada,Mt Seymour,British Columbia,VE7RAG C,VE7RAG G,147.0200,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.37,-122.95,-08:00
4,Canada,Prince George,British Columbia,VE7RES C,VE7RES G,147.0200,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,53.9,-122.76,-08:00
4,Canada,Prince George,British Columbia,VE7RES B,VE7RES G,442.1000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,53.9,-122.76,-08:00
4,Canada,Sooke,British Columbia,VA7PRR C,VA7PRR G,146.1200,DUP-,0.6,DV,OFF,82.5Hz,Yes,Approximate,48.38,-123.73,-08:00
4,Canada,Vancouver,British Columbia,VA7ICM B,VA7ICM G,442.0000,DUP+,5,DV,OFF,82.5Hz,Yes,Approximate,49.19,-122.83,-08:00
4,Canada,Vancouver,British Columbia,VA7ICM C,VA7ICM G,145.0400,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,49.19,-122.83,-08:00
4,Canada,Victoria,British Columbia,VE7VIC C,VE7VIC G,145.0800,DUP+,0.6,DV,OFF,82.5Hz,Yes,Approximate,48.5,-123.5,-08:00
